ID,House_Type,Message,Area,Rooms,Price,Date,Location
832559570,Daire,DAVUTLARDA 550 BİNDEN BAŞLAYAN FİYATLARA 2+1 HAVUZLU DUBLEXLER,170,2+1,550.000 TL,16 Temmuz 2020,Davutlar
844487204,Daire,Kuşadası davutlar merkezde sıfır satılık 3+1 dublex,180,3+1,279.000 TL,26 Temmuz 2020,Davutlar
848973395,Daire,davutlar da havuzlu full eşyalı mükemmel bir 1+1,65,1+1,325.000 TL,10 Ağustos 2020,Davutlar
780988049,Daire,GÜZELÇAMLI ANAHTAR TESLIM ULTRA LUX AVANTAJLI 2+1 DAIRE,95,2+1,345.000 TL,05 Ağustos 2020,Güzelçamlı Mh.
843614799,Daire,FİLİZ EMLAKTAN EMSALSİZ BÜYÜKLÜKTE SATILIK 2+1 DAİRE...,110,2+1,359.000 TL,23 Temmuz 2020,Davutlar
844211823,Yazlık,yalı emlaktan satlık ful deniz manzaralı 3+1 yazlık.,130,3+1,450.000 TL,25 Temmuz 2020,Davutlar
796048705,Daire,EŞİN GURUPTA 1+1 FUL EŞYALI HAVUZLU DAİRE,55,1+1,220.000 TL,20 Temmuz 2020,Davutlar
847075158,Daire,KUŞADASI SATILIK 2+1 DAİRE DAVUTLAR MAHALLESİ,70,2+1,650.000 TL,04 Ağustos 2020,Davutlar
825626196,Daire,KUSADASI DAVUTLARDA SATILIK SIFIR 2+1 HAVUZLU OTOPARKLI,110,2+1,370.000 TL,28 Temmuz 2020,Davutlar
848800413,Daire,Kuşadası Satılık Havuzlu Sitede 2+1 Arakat Daire,100,2+1,425.000 TL,09 Ağustos 2020,Davutlar
849733401,Yazlık,***HAKAN'DA­N***HAVUZLU SİTEDE***GENİŞ BAHÇELİ***YAZLIK FIRSATI**,230,2+1,495.000 TL,12 Ağustos 2020,Davutlar
846892288,Daire,FİLİZ EMLAKTAN GÖRÜLMEMİŞ PROJE...,90,2+1,375.000 TL,03 Ağustos 2020,Davutlar
818262088,Yazlık,MET EMLAKTAN Güzelcamlida Ormanla Komşu Bahceli Dublex,170,2+1,520.000 TL,03 Ağustos 2020,Güzelçamlı Mh.
830971959,Daire,2+1 HAVUZLU DAİRE,90,2+1,270.000 TL,17 Temmuz 2020,Davutlar
849959097,Daire,Firsat Daire,85,1+1,185.000 TL,13 Ağustos 2020,Davutlar
848797154,Villa,KUŞADASI GUZELCAMLI SAHILE 700METRE MESAFEDE BUYUK BAHCELI VILLA,250,3+1,570.000 TL,09 Ağustos 2020,Güzelçamlı Mh.
750570752,Daire,Kuşadası Davutlar mahallesinde dublex ve 2+1 daire ve dükkanlar,105,2+1,310.000 TL,05 Ağustos 2020,Davutlar
833526676,Daire,GÜN IŞIĞI EMLAKTAN DENİZ MANZARALI SIFIR ÇATI KATI DUBLEKS DAİRE,200,4+1,415.000 TL,19 Temmuz 2020,Davutlar
770126111,Yazlık,FIRSAT!Kabası bitmiş DENIZ MANZARALI TEK EV! UNFINISHED HOUSE,453,5+1,610.000 TL,31 Temmuz 2020,Davutlar
815758587,Yazlık,**HAKAN dan** 617m2 ARSA ICERISINDE**(2 ADET) TRIBLEKS VILLA**,617,4+1,650.000 TL,29 Temmuz 2020,Davutlar
841501451,Daire,DAVUTLAR MERKEZDE SATILIK SIFIR DAİRE,130,3+1,260.000 TL,15 Temmuz 2020,Davutlar
848465656,Villa,Kuşadasının oksijen kaynağı denize 700metre Satılık Villa,150,3+1,550.000 TL,08 Ağustos 2020,Güzelçamlı Mh.
583571063,Daire,DAVUTLAR MEDSER YAPIDAN MERKEZDE AMA SİZE ÖZEL LUKS YAŞAM,85,2+1,380.000 TL,11 Ağustos 2020,Davutlar
844245546,Villa,Kuşadası Davutlarda satılık villa,230,4+1,400.000 TL,25 Temmuz 2020,Davutlar
845129898,Daire,Kuşadası Davutlarda Merkezde 1+1 Satılık Daire,75,1+1,153.000 TL,03 Ağustos 2020,Davutlar
838095961,Daire,Aydın kuşadası davutlar,130,3+1,269.000 TL,06 Ağustos 2020,Davutlar
845502252,Daire,KUŞADASI DAVUTLARDA HAVUZLU SİTEDE 2+1 DENİZ MANZARALI DAİRE,90,2+1,270.000 TL,30 Temmuz 2020,Davutlar
831969233,Daire,KUŞADASI DAVUTLAR DA SAHİBİNDEN SATILIK LÜKS DAİRE,130,3+1,375.000 TL,14 Temmuz 2020,Davutlar
836564501,Yazlık,MİS**den**HAVUZLU GÜVENLİKLİ SİTE İÇİNDE**DENİZ MANZARALI**YAZLK,180,3+1,650.000 TL,29 Temmuz 2020,Davutlar
841992998,Daire,Kuşadası davutalarda sıfır daireler,80,2+1,385.000 TL,17 Temmuz 2020,Davutlar
842380394,Daire,Kaporası alındı,60,1+1,200.000 TL,18 Temmuz 2020,Davutlar
841736579,Daire,KUŞADASI DAVUTLAR HAVUZLU SİTE ARA KAT 1+1 SATILIK YENİ DAİRE,60,1+1,235.000 TL,16 Temmuz 2020,Davutlar
835070975,Yazlık,SAHİBİNDEN GÜZELCAMLIDA YAZLIK MASRAFSIZ VE HAVUZLU SİTE İÇİNDE,135,4+1,710.000 TL,25 Temmuz 2020,Güzelçamlı Mh.
847825610,Daire,Davutlarda sahibinden deniz ve doğa manzaralı,65,1+1,209.000 TL,06 Ağustos 2020,Davutlar
838666528,Daire,Davutlar Merkezde Satılık Sıfır 2+1 Daireler,110,2+1,310.000 TL,05 Ağustos 2020,Davutlar
825980178,Daire,SAHİBİNDENMerkezde Çatı Dubleks,200,3+1,450.000 TL,29 Temmuz 2020,Davutlar
847219939,Yazlık,**HAKAN dan**HAVUZLU SİTE**KÖŞE KONUM**YOLUN ALTI**MASRAFSIZ**,250,3+1,560.000 TL,04 Ağustos 2020,Davutlar
839886642,Villa,KUŞADASI DAVUTLAR FÜL DENİZ MANZARALI SATILIK VİLLA,150,3+1,600.000 TL,09 Ağustos 2020,Davutlar
840380564,Yazlık,DAVUTLAR SAHİL YOLUNDA HAVUZLU SİTEDE KAÇIRILMAZ FIRSAT,63,1+1,220.000 TL,10 Ağustos 2020,Davutlar
